2026-07-05 20:32:50.697 | WARNING  | api_quotex.config:_load_config:105 - config.json not found, using default configuration
2026-07-05 20:32:50.697 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-07-05 20:32:50.697 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-07-05 20:32:50.902 | INFO     | api_quotex.config:save_config:168 - Configuration saved to config.json
2026-07-05 20:32:51.628 | INFO     | api_quotex.login:get_ssid:324 - Submitting login form via Cloudscraper with CSRF
2026-07-05 20:32:53.874 | INFO     | api_quotex.login:get_ssid:363 - Demo SSID captured via Cloudscraper (token)
2026-07-05 20:32:53.875 | INFO     | api_quotex.config:save_session:181 - Session data saved to session.json
2026-07-05 20:32:53.875 | INFO     | api_quotex.login:get_ssid:368 - Session data saved successfully
2026-07-05 20:32:53.875 | INFO     | api_quotex.client:__init__:151 - Initialized Quotex client (demo=True, persistent=False) with enhanced monitoring
2026-07-05 20:32:53.875 | INFO     | api_quotex.client:connect:181 - Connecting to Quotex...
2026-07-05 20:32:53.875 | INFO     | api_quotex.client:_start_regular_connection:206 - Starting regular connection...
2026-07-05 20:32:53.875 | INFO     | api_quotex.client:_start_regular_connection:212 - Demo mode: Using demo regions: ['DEMO', 'LIVE']
2026-07-05 20:32:53.999 | INFO     | api_quotex.client:_start_regular_connection:235 - Trying region: DEMO with URL: wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket
2026-07-05 20:32:54.000 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket
2026-07-05 20:32:54.027 | WARNING  | api_quotex.websocket_client:connect:196 - Failed to connect to wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2026-07-05 20:32:54.027 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2026-07-05 20:32:54.027 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-07-05 20:32:54.027 | WARNING  | api_quotex.client:_start_regular_connection:265 - Failed to connect to region DEMO: Failed to connect to any WebSocket endpoint
2026-07-05 20:32:54.027 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to DEMO: Failed to connect to any WebSocket endpoint
2026-07-05 20:32:54.028 | INFO     | api_quotex.client:_start_regular_connection:279 - Waiting 1.80 seconds before next reconnect attempt
2026-07-05 20:32:55.829 | INFO     | api_quotex.client:_start_regular_connection:235 - Trying region: LIVE with URL: wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket
2026-07-05 20:32:55.830 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket
2026-07-05 20:32:55.833 | WARNING  | api_quotex.websocket_client:connect:196 - Failed to connect to wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2026-07-05 20:32:55.834 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2026-07-05 20:32:55.834 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-07-05 20:32:55.834 | WARNING  | api_quotex.client:_start_regular_connection:265 - Failed to connect to region LIVE: Failed to connect to any WebSocket endpoint
2026-07-05 20:32:55.835 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to LIVE: Failed to connect to any WebSocket endpoint
2026-07-05 20:32:55.835 | INFO     | api_quotex.client:_start_regular_connection:279 - Waiting 3.24 seconds before next reconnect attempt
2026-07-05 20:32:59.077 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any region after 2 attempts (Code: None)
2026-07-05 20:32:59.077 | ERROR    | api_quotex.client:connect:195 - Connection failed: Failed to connect to any region after 2 attempts
2026-07-05 20:32:59.078 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Connection failed: Failed to connect to any region after 2 attempts
2026-07-05 20:38:22.481 | INFO     | api_quotex.config:_load_config:103 - Configuration loaded from config.json
2026-07-05 20:38:22.481 | INFO     | api_quotex.config:_load_session:139 - Session data loaded from session.json
2026-07-05 20:38:22.481 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-07-05 20:38:22.644 | INFO     | api_quotex.login:get_ssid:284 - Checking existing saved session...
2026-07-05 20:38:22.887 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket
2026-07-05 20:38:23.478 | INFO     | api_quotex.websocket_client:connect:183 - Connected to LIVE region successfully
2026-07-05 20:38:23.479 | ERROR    | api_quotex.websocket_client:_send_handshake:502 - Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-07-05 20:38:23.479 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] connection: Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-07-05 20:38:23.480 | WARNING  | api_quotex.websocket_client:connect:193 - Failed to connect to wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-07-05 20:38:23.480 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-07-05 20:38:23.694 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-07-05 20:38:23.695 | WARNING  | api_quotex.login:validate_ssid:127 - SSID validation failed for wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2026-07-05 20:38:23.695 | ERROR    | api_quotex.monitoring:record_error:175 - [MEDIUM] authentication: SSID validation failed for wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2026-07-05 20:38:23.695 | ERROR    | api_quotex.login:validate_ssid:135 - SSID validation failed for all regions
2026-07-05 20:38:23.695 | WARNING  | api_quotex.login:get_ssid:297 - Existing session is invalid or expired; removing session.json
2026-07-05 20:38:24.358 | INFO     | api_quotex.login:get_ssid:324 - Submitting login form via Cloudscraper with CSRF
2026-07-05 20:38:25.305 | INFO     | api_quotex.login:get_ssid:363 - Demo SSID captured via Cloudscraper (token)
2026-07-05 20:38:25.307 | INFO     | api_quotex.config:save_session:181 - Session data saved to session.json
2026-07-05 20:38:25.307 | INFO     | api_quotex.login:get_ssid:368 - Session data saved successfully
2026-07-05 20:38:25.308 | INFO     | api_quotex.client:__init__:151 - Initialized Quotex client (demo=True, persistent=False) with enhanced monitoring
2026-07-05 20:38:25.308 | INFO     | api_quotex.client:connect:181 - Connecting to Quotex...
2026-07-05 20:38:25.308 | INFO     | api_quotex.client:_start_regular_connection:206 - Starting regular connection...
2026-07-05 20:38:25.309 | INFO     | api_quotex.client:_start_regular_connection:212 - Demo mode: Using demo regions: ['DEMO', 'LIVE']
2026-07-05 20:38:25.310 | INFO     | api_quotex.client:_start_regular_connection:235 - Trying region: DEMO with URL: wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket
2026-07-05 20:38:25.310 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws.market-qx.trade/socket.io/?EIO=3&transport=websocket
2026-07-05 20:38:25.853 | INFO     | api_quotex.websocket_client:connect:183 - Connected to LIVE region successfully
2026-07-05 20:38:25.854 | ERROR    | api_quotex.websocket_client:_send_handshake:502 - Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-07-05 20:38:25.854 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] connection: Handshake failed: 'ClientConnection' object has no attribute 'closed'
